,date,dB,something,ping,upload,download,jitter
79,2022-10-11 19:05:01,-30.3,12.7,700.36,17.84,29.87,7.39
80,2022-10-11 19:10:01,-30.6,12.6,714.18,2.84,28.61,6.75
81,2022-10-11 19:15:01,-30.3,12.6,712.45,12.61,31.12,6.58
82,2022-10-11 19:20:01,-30.5,12.7,700.64,14.6,35.5,7.0
83,2022-10-11 19:25:02,-30.4,12.7,707.55,9.75,35.82,7.0
84,2022-10-11 19:30:01,-30.4,12.8,712.18,10.48,34.59,6.9
85,2022-10-11 19:35:01,-30.6,12.5,712.27,5.87,30.61,2.13
86,2022-10-11 19:40:01,-30.4,12.7,707.55,4.73,14.93,6.92
87,2022-10-11 19:45:01,-30.5,12.6,712.0,1.76,19.29,6.58
88,2022-10-11 19:50:01,-30.5,12.8,703.73,13.44,30.73,6.82
89,2022-10-11 19:55:01,-30.6,12.4,708.73,5.35,21.9,6.82
90,2022-10-11 20:00:02,-30.5,12.9,709.09,3.98,11.42,6.77
91,2022-10-11 20:05:01,-30.6,12.6,708.82,3.61,22.47,7.32
92,2022-10-11 20:10:01,-30.6,12.8,708.18,13.39,26.43,7.05
93,2022-10-11 20:15:01,-30.5,12.5,700.36,13.96,29.21,6.58
94,2022-10-11 20:20:01,-30.6,12.6,715.45,10.64,12.05,6.87
95,2022-10-11 20:25:01,-30.7,12.6,704.0,14.51,23.83,6.65
96,2022-10-11 20:30:01,-30.5,12.6,700.82,9.75,28.97,6.73
97,2022-10-11 20:35:01,-30.6,12.7,774.09,34.63,34.14,6.75
98,2022-10-11 20:40:01,-30.5,12.8,706.18,14.51,34.79,6.85
99,2022-10-11 20:45:01,-30.6,12.6,711.91,10.87,16.78,6.58
100,2022-10-11 20:50:01,-30.6,12.7,712.27,4.36,26.07,7.05
101,2022-10-11 20:55:01,-30.4,12.6,711.36,4.02,29.22,6.77
102,2022-10-11 21:00:02,-30.5,12.7,708.45,9.11,25.1,6.73
103,2022-10-11 21:05:01,-30.7,12.5,711.91,10.37,11.91,6.65
104,2022-10-11 21:10:01,-30.7,12.5,707.82,3.01,27.3,6.63
105,2022-10-11 21:15:01,-30.7,12.6,710.45,6.55,35.03,7.19
106,2022-10-11 21:20:01,-30.6,12.3,699.73,10.11,7.27,6.92
107,2022-10-11 21:25:02,-30.7,12.4,713.18,7.48,8.33,7.1
108,2022-10-11 21:30:01,-30.6,12.5,708.36,7.81,30.87,6.55
109,2022-10-11 21:35:01,-30.7,12.5,709.55,5.13,31.21,6.23
110,2022-10-11 21:40:01,-30.7,12.5,712.0,4.69,29.51,6.87
111,2022-10-11 21:45:01,-30.6,12.5,719.36,5.57,33.33,6.58
112,2022-10-11 21:50:02,-30.7,12.6,704.0,10.72,33.57,6.53
113,2022-10-11 21:55:01,-30.6,12.6,710.55,11.43,20.73,6.4
114,2022-10-11 22:00:02,-30.6,12.6,708.55,3.24,34.12,8.01
115,2022-10-11 22:05:01,-30.5,12.5,719.64,14.84,36.53,6.7
116,2022-10-11 22:10:01,-30.6,12.5,704.64,7.31,33.59,7.64
117,2022-10-11 22:15:01,-30.8,12.3,712.36,21.77,8.86,6.9
118,2022-10-11 22:20:01,-30.6,12.6,708.91,10.69,13.06,6.33
119,2022-10-11 22:25:01,-30.6,12.5,712.18,7.52,10.59,3.24
120,2022-10-11 22:30:01,-30.7,12.5,697.73,8.09,32.73,6.53
121,2022-10-11 22:35:01,-30.7,12.6,1065.09,141.34,30.77,6.33
122,2022-10-11 22:40:02,-30.7,12.5,704.91,6.63,19.27,6.63
123,2022-10-11 22:45:01,-30.7,12.5,708.64,4.14,28.53,7.15
124,2022-10-11 22:50:01,-30.6,12.5,708.91,12.3,30.64,6.73
125,2022-10-11 22:55:01,-30.6,12.3,704.91,13.57,30.24,1.29
126,2022-10-11 23:00:01,-30.7,12.4,697.73,11.92,25.44,6.45
127,2022-10-11 23:05:01,-30.7,12.4,707.73,11.06,22.47,6.7
128,2022-10-11 23:10:01,-30.6,12.3,700.09,17.28,25.04,5.91
129,2022-10-11 23:15:01,-30.6,12.3,695.55,12.06,32.82,6.53
130,2022-10-11 23:20:01,-30.6,12.3,704.91,9.62,36.14,6.87
131,2022-10-11 23:25:01,-30.5,12.5,707.55,8.68,39.13,6.43
132,2022-10-11 23:30:01,-30.6,12.3,701.91,12.2,38.0,7.0
133,2022-10-11 23:35:01,-30.6,12.1,701.55,8.77,35.26,6.5
134,2022-10-11 23:40:01,-30.6,12.4,708.64,8.26,31.11,6.58
135,2022-10-11 23:45:01,-30.7,12.4,701.36,8.65,36.95,6.82
136,2022-10-11 23:50:01,-30.7,12.3,701.45,8.79,15.51,6.95
137,2022-10-11 23:55:01,-30.6,12.4,705.27,12.22,35.45,6.53
138,2022-10-12 00:00:01,-30.5,12.3,700.45,8.89,32.77,7.19
139,2022-10-12 00:05:01,-30.6,12.3,708.64,8.07,37.88,4.99
140,2022-10-12 00:10:01,-30.3,12.6,701.45,23.33,38.23,6.43
141,2022-10-12 00:15:01,-30.5,12.5,705.18,5.49,38.15,6.6
142,2022-10-12 00:20:01,-30.5,12.4,707.0,17.85,38.36,6.97
143,2022-10-12 00:25:01,-30.5,12.5,712.09,2.69,38.36,7.15
144,2022-10-12 00:30:01,-30.4,12.8,687.64,14.0,38.0,6.7
145,2022-10-12 00:35:01,-30.5,12.6,697.45,24.56,38.11,6.8
